Period,DefaultRate,USDJPYSPOT,NikkeiStockAverage,CallRate,PrimeRateST,PrimeRateLT,LendingLocalBank,All_RE_Price,Tokyo_RE_Price,Hiroshima_RE_Price,Yamaguchi_RE_Price,Fukuoka_RE_Price,All_RE_Rate,Tokyo_RE_Rate,Hiroshima_RE_Rate,Yamaguchi_RE_Rate,Fukuoka_RE_Rate
8-Dec,0.032,90.28,8859.56,0.103,1.494,1.989,1920931,,,,,,,,,,
9-Jan,0.033,89.51,7994.05,0.128,1.446,1.961,1933771,,,,,,,,,,
9-Feb,0.033,97.87,7568.42,0.109,1.403,1.932,1932800,,,,,,,,,,
9-Mar,0.033,98.31,8109.53,0.088,1.34,1.904,1947282,"125,000","433,000","88,900","39,100","99,400",-1.2,2.1,-2,-3.1,-1.9
9-Apr,0.033,97.67,8828.26,0.113,1.298,1.89,1942510,,,,,,,,,,
9-May,0.033,96.45,9522.5,0.099,1.271,1.878,1934406,,,,,,,,,,
9-Jun,0.033,95.56,9958.44,0.11,1.266,1.821,1926058,,,,,,,,,,
9-Jul,0.033,95.61,10356.83,0.105,1.286,1.808,1930532,,,,,,,,,,
9-Aug,0.032,92.78,10492.53,0.11,1.304,1.8,1930638,,,,,,,,,,
9-Sep,0.03,89.76,10133.23,0.103,1.261,1.79,1931701,,,,,,,,,,
9-Oct,0.03,91.11,10034.74,0.112,1.278,1.782,1934963,,,,,,,,,,
9-Nov,0.03,86.15,9345.55,0.113,1.27,1.776,1926568,,,,,,,,,,
9-Dec,0.029,92.13,10546.44,0.094,1.256,1.761,1937521,,,,,,,,,,
10-Jan,0.028,90.19,10198.04,0.095,1.26,1.753,1939472,,,,,,,,,,
10-Feb,0.028,89.34,10126.03,0.097,1.254,1.745,1938179,,,,,,,,,,
10-Mar,0.027,93.27,11089.94,0.082,1.213,1.729,1944088,"116,600","386,300","85,200","37,300","86,700",-4.4,-6.9,-3.5,-5.3,-4.3
10-Apr,0.027,94.18,11057.4,0.096,1.194,1.72,1940135,,,,,,,,,,
10-May,0.026,91.49,9768.7,0.089,1.196,1.712,1932459,,,,,,,,,,
10-Jun,0.026,88.66,9382.64,0.096,1.16,1.703,1926577,,,,,,,,,,
10-Jul,0.026,86.37,9537.3,0.098,1.197,1.694,1931019,,,,,,,,,,
10-Aug,0.026,84.24,8824.06,0.095,1.166,1.687,1933806,,,,,,,,,,
